Sentence,Words,POS,Tag
, immiza ,PU,O
,wode ,PU,O
,asi ,NN,O
,tana,NN,O
, beyo ,AJ,O
,giidi ,NZ,O
,asa ,VV,O
,sinthan ,VV,O
,bonchetanas ,NN,O
,ogeninne ,NN,O
,Ayhuda,AJ,O
, Woosa,NZ,I-ORG
,Keeththan ,VV,I-ORG
,xurumba,NP,O
, punisiza,NP,O
, qoodheppe ,NC,O
,qommon ,NN,O
,hanizaytatho,NN,O
, ooththofte,NN,O
,. ,PUN,O
Sentence,Ta,NN,O
, intes ,NN,O
,tumu ,NN,O
,gays,AJ,O
,; ,PUN,O
Sentence,isti ,VV,O
,ba ,VV,O
,waaga ,NN,O
,ubba ,NN,O
,haan ,AJ,O
,ekkichida,NZ,O
,. ,PUN,O
Sentence,hezu,NP,O
, Inte ,NP,O
,manqotas,NC,O
, immishin ,NN,O
,ushachcha ,NN,O
,kushey,NN,O
, ooththiza,NN,O
, hadirisa,NN,O
, kushey ,AJ,O
,eroppo,NZ,O
,. ,PUN,O
,oydu,VV,O
,Inte ,NN,O
,imoy ,NN,O
,geeman ,AJ,O
,gido,NZ,O
,;,PUN,O
, qotan ,NP,O
,oosettidayssa ,NP,O
,beyiza,NC,O
, inte ,NN,O
,Aawayka ,NN,O
,inte ,NN,O
,waaga ,PU,O
,intes ,PU,O
,immana,NN,O
,.,PUN,O
Sentence,Woosa ,AJ,O
,gish,NZ,O
Sentence,ichashu,VV,O
,“,PUN,O
,Inte ,NN,O
,woossishe ,NN,O
,qoodheppe ,AJ,O
,qommon,NZ,O
, hanizayta ,VV,O
,mala ,NP,O
,hanoppite,NP,O
,; ,PUN,O
Sentence,isti ,NN,O
,asi ,NN,O
,beyana ,NN,O
,mala ,PU,O
,Ayhuda,NN,I-LOC
,woosa,NN,I-LOC
,keeththataninne,NN,I-LOC
, oyddu ,AJ,O
,oge,NZ,O
, bolla,VV,O
, eqqidi,VV,O
, woossanas,NN,O
, dossettes,NN,O
,. ,PUN,O
Sentence,Ta ,NZ,O
,intes ,VV,O
,tumu,NP,O
, gays,NP,O
,; ,PUN,O
Sentence,isti ,NN,O
,kumeththa ,NN,O
,waaga ,NN,O
,ekichida,NN,O
,.  ,NN,O
Sentence,usupna,NN,O
,Ne ,NN,O
,woossana ,AJ,O
,geliza ,NZ,O
,ne ,VV,O
,kifile ,VV,O
,gela,NN,O
,; ,PUN,O
Sentence,karekka ,AJ,O
,ne ,NZ,O
,bolla ,VV,O
,gordada,NP,O
, geeman ,NP,O
,diza ,NC,O
,ne,NN,O
, Aawakko,NN,O
, woossa,NN,O
,. ,PUN,O
Sentence,Geeman,PU,O
, oosettidayssa ,NN,O
,beyiza ,NN,O
,ne ,AJ,O
,Aaway ,NZ,O
,ne ,VV,O
,ooso ,VV,O
,mala ,NN,O
,nees,NN,O
, immana,AJ,O
,.,PUN,O
Sentence,Lapuna,VV,O
,“,PUN,O
,Ammanonta ,NP,O
,asay ,NC,O
,issi ,NN,O
,qaala ,NN,O
,zaari ,NN,O
,zaari,PU,O
, woossikko,NN,O
, istas ,NN,O
,siyetiza ,NN,O
,misatin ,AJ,O
,isti,NZ,O
, zaari ,VV,O
,zaari ,VV,O
,gizayssatho ,NN,O
,inteka ,NN,O
,woossishe ,AJ,O
,issi ,NZ,O
,qaala ,VV,O
,zaari,NP,O
, zaari ,NP,O
,gooppite,NC,O
,. ,PUN,O
Sentence,Hospuna,NN,O
,Gido ,NN,O
,attin ,NN,O
,inte,NN,O
, Aaway ,AJ,O
,inte ,NZ,O
,woossanappe ,VV,O
,kasetidi,VV,O
, intes ,NN,O
,aazi ,NN,O
,koshshizakkone ,AJ,O
,eriza ,NZ,O
,gish ,VV,O
,inte ,NP,O
,ista ,NP,O
,misatoppite,NC,O
,. ,PUN,O
,Udufuna,NN,O
,Inte ,NN,O
,woossishe,PU,O
, ‘,PUN,O
,Salon,NN,I-LOC
, diza ,NN,O
,nu ,AJ,O
,Aawawu,NZ,O
,! ,PUN,O
,Ne ,VV,O
,sunthi ,NN,O
,anjeto,NN,O
,.,AJ,O
,Tamantha,NZ,O
,Ne,VV,O
, kawotethi ,NP,O
,haayo,NP,O
,; ,PUN,O
Sentence,ne ,NN,O
,sheney ,NN,O
,salon ,NN,O
,gidida ,PU,O
,mala ,NN,O
,sa'anka ,NN,O
,hano,NN,O
,.,AJ,O
Sentence,Qalay,NZ,O
,Hachchis ,VV,O
,gidiza ,VV,O
,kath ,NN,O
,nuus ,NN,O
,hachchi ,AJ,O
,imma,NZ,O
,.,PUN,O
Sentence,Qalay,NP,O
,Nu ,NP,O
,nuna ,NC,O
,qohidaytas ,NN,O
,atto ,NN,O
,giza ,NN,O
,mala ,NN,O
,nekka ,NN,O
,nu ,AJ,O
,qoho ,NZ,O
,nuus ,VV,O
,atto ,VV,O
,ga,NN,O
,.,PUN,O
Sentence,Qalay,AJ,O
,Iitappe ,NZ,O
,nuna ,VV,O
,ashsha ,NP,O
,attin ,NP,O
,nuna ,NC,O
,paacen ,NN,O
,gelthofa,NN,O
,;,PUN,O
Sentence, bonchoy ,PU,O
,merpe ,PU,O
,merna ,NN,O
,gakkanaas ,NN,O
,neyssa,AJ,O
,. ,NZ,O
Sentence,Amiin,VV,O
,’ ,PUN,O
,gi ,NN,O
,woossite,NN,O
,.,PUN,O
,Qalay,NZ,O
,“,PUN,O
,Inte ,NP,O
,intena ,NP,O
,qohidaytas ,NC,O
,atto ,NN,O
,giikko ,NN,O
,inte ,NN,O
,salo ,PU,O
,Aaway ,NN,O
,intes ,NN,O
,atto ,NN,O
,gaana,AJ,O
,. ,PUN,O
Sentence,Qalay,VV,O
,Qasse ,VV,O
,inte ,NN,O
,asa ,NN,O
,nagara ,AJ,O
,atto ,NZ,O
,gonta ,VV,O
,ixikko,NP,O
, inte ,NP,O
,Aawayka ,NC,O
,inte ,NN,O
,nagara ,NN,O
,atto,NN,O
, geenna,NN,O
,.,NN,O
Sentence,Xooma,AJ,O
, gish,NZ,O
,Qalay,VV,O
, “,PUN,O
,Inte,NN,O
, xooma,NN,O
, xoomishe ,AJ,O
,qoodheppe ,NZ,O
,qommora ,VV,O
,xoomizaytatho ,NP,O
,shullofte,NP,O
,.,PUN,O
Sentence, Isti,NN,O
, ba ,NN,O
,xoomizayssa ,NN,O
,asi ,PU,O
,erana,PU,O
, mala ,NN,O
,ba,NN,O
, ayfeso,AJ,O
, iissetes,NZ,O
,. ,PUN,O
Sentence,Ta ,VV,O
,tumu ,NN,O
,gays,NN,O
,; ,PUN,O
Sentence,hessatho ,NZ,O
,ooththizayti,VV,O
, ba ,NP,O
,waaga ,NP,O
,kumeth ,NC,O
,ekkichida,NN,O
,.,PUN,O
,Qalay,NN,O
Sentence,Neni ,PU,O
,xooma ,NN,O
,xoomashe ,NN,O
,ne ,NN,O
,ayfeso,AJ,O
, meeceta,NZ,O
,", ",PUN,O
,ne ,VV,O
,hu'e ,NN,O
,tiyetta,NN,O
,. ,PUN,O
Sentence,Qalay,NZ,O
,Hessatho,VV,O
, ne ,NP,O
,xoomikko ,NP,O
,geeman ,NC,O
,diza ,NN,O
,ne ,NN,O
,Aaway ,NN,O
,xalala ,NN,O
,erizazinne ,NN,O
,asi,AJ,O
, oonikka ,NZ,O
,eronta ,VV,O
,qotan,VV,O
, gidana,NN,O
,. ,PUN,O
Sentence,Qotan ,AJ,O
,oosettidayssa ,NZ,O
,beyiza ,VV,O
,ne ,NP,O
,Aawayka ,NP,O
,ne ,NC,O
,waaga ,NN,O
,nees,NN,O
, immana,NN,O
,.,PUN,O
Sentence,Salon,PU,B-LOC
,diza ,NN,O
,haaro,NN,O
,Qalay,AJ,O
,“,PUN,O
,Bilay ,VV,O
,mizason ,VV,O
,buuqidinne ,NN,O
,shiydi ,NN,O
,mooretizason,AJ,O
, kaysoy ,NZ,O
,bookkidi ,VV,O
,kaysanas ,NP,O
,dandayizason,NP,O
,", ",PUN,O
,ha ,NN,O
,biitta ,NN,O
,bolla,NN,O
, intes,PU,O
, miishe ,NN,O
,shiishofte,NN,O
,. ,PUN,O
Sentence,Qala,AJ,O
,Gido ,NZ,O
,attin ,VV,O
,bilay ,VV,O
,maanas,NN,O
,", ",PUN,O
,buuqidi,AJ,O
, woykko ,NZ,O
,shiydi ,VV,O
,mooretontason,NP,O
,", ",PUN,O
,kaysoy ,NC,O
,bookki ,NN,O
,ekkana ,NN,O
,dandayontason ,NN,O
,heen,NN,O
, salon ,NN,O
,intes ,AJ,O
,miishi ,NZ,O
,shiishshite,VV,O
,. ,PUN,O
Sentence,Qalay,NN,O
,Ne ,NN,O
,miishay,AJ,O
, dizason ,NZ,O
,ne,VV,O
, woznay ,NP,O
,heen ,NP,O
,dees,NC,O
,.,PUN,O
Sentence,Qalay,NN,O
,“,NN,O
,Ayfey ,PU,O
,asatethas ,PU,O
,poo'o,NN,O
,;,PUN,O
Sentence, hessa ,AJ,O
,gish ,NZ,O
,ne ,VV,O
,ayfey ,VV,O
,paxa ,NN,O
,gidikko,NN,O
,", ",PUN,O
,ne ,NZ,O
,kumeththa ,VV,O
,asatethayka ,NP,O
,poo'o ,NP,O
,gidana,NC,O
,. ,PUN,O
Sentence,Qalay,NN,O
, Ne ,NN,O
,ayfey ,PU,O
,hargancha,NN,O
, gidikko,NN,O
,", ",PUN,O
,ne ,AJ,O
,kumeththa,NZ,O
, asatethayka ,VV,O
,dhuma,VV,O
, xalla ,NN,O
,gidana,NN,O
,. ,PUN,O
Sentence,Histikko ,NZ,O
,nenan ,VV,O
,diza ,NP,O
,poo'oy ,NP,O
,dhuma ,NC,O
,gidikko,NN,O
,", ",PUN,O
,qasse ,NN,O
,dhumay ,NN,O
,waanida ,NN,O
,gird ,AJ,O
,gida ,NZ,O
,dhuma,VV,O
, gidandee,VV,O
,?,PUN,O
Sentence,Qalay,NN,O
,“,PUN,O
,Issi ,NZ,O
,asi,VV,O
, nam'u ,NP,O
,godas ,NP,O
,ooththana ,NC,O
,dandayenna,NN,O
,. ,PUN,O
Sentence,Issa,NN,O
, ixidi ,PU,O
,nam'anthoza ,PU,O
,dosana,NN,O
,; ,PUN,O
Sentence,woykko ,AJ,O
,issa ,NZ,O
,bonchidi ,VV,O
,nam'antha ,VV,O
,leqqana,NN,O
,; ,PUN,O
Sentence,Xoossassinne,AJ,O
,miishas ,NZ,O
,nam'atas ,VV,O
,gaththi ,NP,O
,ooththanas ,NP,O
,dandayettenna,NC,O
,.,PUN,O
Sentence,Daro ,NN,O
,qoppofte,NN,O
,ges,PU,O
,“,PUN,O
,Hessa ,NN,O
,gish,NN,O
, ta,AJ,O
, intena ,NZ,O
,inte ,VV,O
,duussa ,VV,O
,gish ,NN,O
,ay ,NN,O
,miinoo,AJ,O
,? ,PUN,O
Sentence,Ay ,VV,O
,uyinoo,NP,O
,? ,PUN,O
Sentence,Ay ,NC,O
,may'inoo,NN,O
,? ,PUN,O
Sentence,giidi ,NN,O
,hirgofte ,NN,O
,gays,NN,O
,. ,PUN,O
Sentence,Shempoy ,NZ,O
,qumappe,VV,O
,", ",PUN,O
,ashoy ,NN,O
,may'oppe ,NN,O
,aadhdhenee,AJ,O
,? ,PUN,O
Sentence,Qalay,VV,O
, Ane ,NP,O
,salo ,NP,O
,kafota ,NC,O
,xeellite,NN,O
,! ,PUN,O
,Zerettenna,NN,O
,", ",PUN,O
,maxettenna,PU,O
,", ",PUN,O
,di'en ,NN,O
,qoletenna,AJ,O
, shin ,NZ,O
,inte ,VV,O
,salo ,VV,O
,Aaway ,NN,O
,ista ,NN,O
,mizees,AJ,O
,.,PUN,O
Sentence, Inte,VV,O
, istafe,NP,O
, keehi ,NP,O
,aadhdheketii,NC,O
,? ,PUN,O
Sentence,Qalay,NN,O
,Ane ,NN,O
,intefe ,PU,O
,daro ,NN,O
,waayettidi,NN,O
, baas ,NN,O
,imettida,AJ,O
, laytha,NZ,O
, bolla,VV,O
, hara,VV,O
, issi ,NN,O
,gallas ,NN,O
,gujana ,AJ,O
,dandayiza ,NZ,O
,asi,VV,O
, dizee,NP,O
,? ,PUN,O
Sentence,Qalay,NC,O
,“,PUN,O
,Qasse,NN,O
, may'o,NN,O
, gish ,NN,O
,aazas ,NN,O
,hirgetii,AJ,O
,? ,PUN,O
Sentence,Ane,VV,O
, coo ,VV,O
,denban ,NN,O
,diza ,NN,O
,ciishshata ,AJ,O
,xeellite,NZ,O
,; ,PUN,O
Sentence,daaburetenna ,NP,O
,woykko ,NP,O
,suqetenna,NC,O
,. ,PUN,O
Sentence,Qalay,NN,O
,Hessa ,NN,O
,gish ,PU,O
,ta ,PU,O
,intena,NN,O
, gizay ,NN,O
,haray ,AJ,O
,atto ,NZ,O
,shin ,VV,O
,kawo ,VV,O
,Solomoonikka ,NN,O
,ba ,NN,O
,bonchora ,AJ,O
,ha ,NZ,O
,ciishshatappe,VV,O
, issiney ,NP,O
,mala ,NP,O
,lo'o ,NC,O
,may'ibenna,NN,O
,. ,PUN,O
Sentence,Qalay,NN,O
, Inteno ,PU,O
,pace ,NN,O
,ammanoy ,NN,O
,dizayto,NN,O
,! ,PUN,O
,Hachchi ,NZ,O
,asa ,VV,O
,ayfen ,VV,O
,beettidi ,NN,O
,wonto ,NN,O
,taman,AJ,O
, wodhdhana ,NZ,O
,maata ,VV,O
,hayssatho ,NP,O
,mayziza ,NP,O
,Xoossi ,NC,I-PER
,intena ,NN,O
,hessafe ,NN,O
,lo'ethi ,NN,O
,aaththi ,NN,O
,mayzanas ,NN,O
,dandayenee,AJ,O
,? ,PUN,O
Sentence,Qalay,VV,O
,Hessa ,VV,O
,gish ,NN,O
,nu ,NN,O
,ay ,AJ,O
,maanee,NZ,O
,? ,PUN,O
Sentence,Ay ,NP,O
,uyanee,NP,O
,? ,PUN,O
,Ay ,NN,O
,may'anee,NN,O
,? ,PUN,O
Sentence,giidi ,PU,O
,hirgofte,PU,O
,.,PUN,O
Sentence,Qalay,NN,O
,Hanko ,AJ,O
,ammanonta ,NZ,O
,asay ,VV,O
,hayssa ,VV,O
,demmanas ,NN,O
,daro ,NN,O
,qoppees,AJ,O
,. ,PUN,O
Sentence,Hayssi ,VV,O
,wuri ,NP,O
,intes ,NP,O
,koshshizayssa,NC,O
, inte ,NN,O
,salo ,NN,O
,Aaway ,NN,O
,erees,PU,O
,. ,PUN,O
Sentence,Qalay,NN,O
,Harappe ,NN,O
,sinthatidi ,AJ,O
,Xoossa,NZ,I-PER
,Kawoteththa,VV,I-ORG
,xilloteth,VV,O
, koyite,NN,O
,; ,PUN,O
Sentence,hayti ,AJ,O
,wuri ,NZ,O
,intes ,VV,O
,gujettana,NP,O
,. ,PUN,O
Sentence,Qalay,NC,O
,Hessa ,NN,O
,gish ,NN,O
,wontos ,NN,O
,keehi ,NN,O
,qoppofte,NN,O
,; ,PUN,O
Sentence,wonto ,NZ,O
,metoy ,VV,O
,wontos,VV,O
, aqo,NN,O
,; ,PUN,O
Sentence,issi ,AJ,O
,issi ,NZ,O
,gallassay ,VV,O
,baassi,NP,O
, gidiza ,NP,O
,metora,NC,O
, dees,NN,O
,.,PUN,O
Sentence,Hara ,NN,O
,asa ,PU,O
,bolla ,PU,O
,pirdanas ,NN,O
,koshshenna,NN,O
,Qalay,AJ,O
,“,PUN,O
,Inte ,VV,O
,bolla ,VV,O
,pirdetonta ,NN,O
,mala ,NN,O
,hara,AJ,O
, asa ,NZ,O
,bolla ,VV,O
,pirdofte,NP,O
,. ,PUN,O
Sentence,Qalay,NC,O
, Inte ,NN,O
,pirdida ,NN,O
,mala ,NN,O
,inte ,PU,O
,bollakka ,NN,O
,pirdettana,NN,O
,. ,PUN,O
Sentence,Inte ,AJ,O
,makkida ,NZ,O
,miishara ,VV,O
,intes ,VV,O
,makettana,NN,O
,.  ,PUN,O
,Qalay,AJ,O
,Ne ,NZ,O
,ayfen ,VV,O
,diza ,NP,O
,gita ,NP,O
,mitha ,NC,O
,beyonta ,NN,O
,dashe ,NN,O
,ne ,NN,O
,isha ,NN,O
,ayfen ,NN,O
,diza ,AJ,O
,qeeri ,NZ,O
,buura ,VV,O
,aazas,VV,O
, xeellay,NN,O
,? ,PUN,O
Sentence,Qalay,AJ,O
,Ne,NZ,O
, ayfen,VV,O
, gita ,NP,O
,mithi ,NP,O
,dishin ,NC,O
,ne,NN,O
, isha,NN,O
, ‘,PUN,O
,Ane ,PU,O
,ta ,PU,O
,ne ,NN,O
,ayfeppe,NN,O
, qeeri ,AJ,O
,buurayo ,NZ,O
,kessays,VV,O
,’ ,PUN,O
,gaanas ,NN,O
,waana ,NN,O
,dandayay,AJ,O
,? ,PUN,O
Sentence,Qalay,VV,O
,Neno ,NP,O
,qoodheppe ,NP,O
,qommon ,NC,O
,hanizaysso ,NN,O
,kasetada ,NN,O
,ne ,NN,O
,ayfen ,PU,O
,diza ,NN,O
,gita ,NN,O
,mitha ,NN,O
,kessaycha,AJ,O
,. ,PUN,O
Sentence,Hessafe ,VV,O
,kaallada ,VV,O
,ne,NN,O
, isha ,NN,O
,ayfen ,AJ,O
,diza ,NZ,O
,buura ,VV,O
,kessanas ,NP,O
,lo'etha ,NP,O
,xeellandasa,NC,O
,. ,PUN,O
Sentence,Qalay,NN,O
,Ba ,NN,O
,tohon ,NN,O
,yedhonta ,NN,O
,malanne ,AJ,O
,simmidi ,NZ,O
,intena ,VV,O
,saxi ,VV,O
,daakerethonta ,NN,O
,mala ,NN,O
,anjettidayssa ,AJ,O
,kanata ,NZ,O
,sinthan ,VV,O
,yeggofte,NP,O
,; ,PUN,O
Sentence,qasse ,NC,O
,inte ,NN,O
,worqakka ,NN,O
,guddunthata,NN,O
, sinthan ,PU,O
,yeggofte,PU,O
,.,PUN,O
Sentence,Woossite,NN,O
,", ",PUN,O
,koyite,NZ,O
,", ",PUN,O
,qoxite,VV,O
,doyettana,NN,O
,“,PUN,O
,Woossite,AJ,O
, intes ,NZ,O
,imettana,VV,O
,; ,PUN,O
Sentence,koyite ,NP,O
,inte,NC,O
, demmana,NN,O
,; ,PUN,O
Sentence,kare ,NN,O
,qoxite ,PU,O
,intes ,NN,O
,doyettana,NN,O
,. ,PUN,O
Sentence,Qalay,AJ,O
,Woossida ,NZ,O
,ubbas ,VV,O
,imettana,VV,O
,; ,PUN,O
Sentence,koyiza ,NN,O
,asi ,AJ,O
,demmana,NZ,O
,; ,PUN,O
Sentence,qoxizades ,NP,O
,karey,NP,O
, doyettana,NC,O
,.,PUN,O
Sentence,Qalay,NN,O
,Inte ,NN,O
,giddofe ,NN,O
,issades ,NN,O
,nay ,AJ,O
,uketh ,NZ,O
,woossikko,VV,O
, shuch,VV,O
, immiza,NN,O
, aaway ,NN,O
,dandee,AJ,O
,? ,PUN,O
Sentence,Qalay,VV,O
,Woykko ,NP,O
,mole,NP,O
, woossikko,NC,O
, shoosh ,NN,O
,immizadey ,NN,O
,dandee,NN,O
,?,PUN,O
Sentence,Qalay,PU,O
,Histin,NN,O
, inte ,NN,O
,iitata ,AJ,O
,gidi ,NZ,O
,uttidi ,VV,O
,inte ,VV,O
,naytas ,NN,O
,lo'o ,NN,O
,miish ,AJ,O
,imo ,NZ,O
,erizayta ,VV,O
,gidikko,NP,O
, inte ,NP,O
,salo,NC,O
, Aaway,NN,O
, iza ,NN,O
,woossizaytas ,NN,O
,waanidi ,PU,O
,aadhdhiza,NN,O
, lo'o,NN,O
, miish,NN,O
, imenee,AJ,O
,? ,PUN,O
Sentence,Qalay,VV,O
,Hessa ,VV,O
,gish ,NN,O
,hara ,NN,O
,asi,AJ,O
, intes ,NZ,O
,ooththana ,VV,O
,mala ,NP,O
,inte ,NP,O
,koyizayssa,NC,O
,",",PUN,O
, inteka,NN,O
, haratas ,NN,O
,ooththite,NN,O
,. ,PUN,O
Sentence,Muse,AJ,O
,wogaynne,NZ,O
, nabeti ,VV,O
,hayssan ,VV,O
,kuuyettes,NN,O
,. ,PUN,O
Sentence,Aaho ,AJ,O
,pengenne,NZ,O
, xuuntha ,VV,O
,penge,NP,O
,Qalay,NP,O
,“,PUN,O
,Xuuntha,NN,O
, pengera ,NN,O
,gelite,NN,O
,; ,PUN,O
Sentence,dhayoso ,PU,O
,efiza ,NN,O
,ogey ,NN,O
,gita,AJ,O
,;,PUN,O
, pengeykka,VV,O
, aaho,VV,O
,; ,PUN,O
Sentence,daro,NN,O
, asay ,AJ,O
,he ,NZ,O
,pengezara,VV,O
, gelees,NP,O
,. ,PUN,O
Sentence,Qalay,NC,O
,De'os ,NN,O
,gaththiza ,NN,O
,ogey ,NN,O
,gidikko ,PU,O
,xuuntha,NN,O
,; ,PUN,O
Sentence,gelanaytikka ,NN,O
,guuthata ,AJ,O
,xalala,NZ,O
,.,PUN,O
Sentence,Wolqqathon ,VV,O
,asho ,NN,O
,gaagetetha ,NN,O
,qohan ,AJ,O
,Qalay,NZ,O
, laytha ,VV,O
,qeeri,NP,O
, naa ,NP,O
,nee ,NC,O
,harata ,NN,O
,bolla ,NN,O
,gakkidaysa ,NN,O
,gidishin ,NN,O
,qohay,NN,O
, bolla ,AJ,O
,gohappe ,NZ,O
,qofa ,VV,O
,bolla ,VV,O
,naaqo,NN,O
, gaththizaysa ,NN,O
,Yootida.,AJ,O
,Ha ,NZ,O
,wuda ,VV,O
,bolla ,NP,O
,nu ,NP,O
,haasa'issida ,NC,O
,asatappe,NN,O
, mishshiroho ,NN,O
,kucaca ,NN,O
,oylenne,PU,O
, daanna,PU,I-PER
,kaappole,NN,I-PER
, kaytarey,NN,I-PER
,ha,AJ,O
, oothoy ,NZ,O
,dere ,VV,O
,woga ,VV,O
,paalamizaysas,NN,O
, teqe ,NN,O
,ootho,AJ,O
, oothidaysa,NZ,O
, yootidi,VV,O
, hayssa ,NP,O
,bala ,NP,O
,ooththizayta ,NC,O
,bolla ,NN,O
,Kawoy ,NN,O
,tango ,NN,O
,eko,PU,O
, kashshizaysa ,NN,O
,qofissida ,NN,O
,gishe ,NN,O
,oda,AJ,I-PER
,Amaro,NZ,I-PER
,Arsabay,VV,I-PER
,gaththides,VV,O
,.,PUN,O
Sentence,Korona,NN,O
, vayrese,AJ,O
, laaletetha ,NZ,O
,teqe ,VV,O
,miiyera ,NP,O
,nu ,NP,O
,deren ,NC,O
,doomettida ,NN,O
,cilila ,NN,O
,puute ,NN,O
,tossa ,NN,O
,prograame,NN,O
, tuma ,AJ,O
,ooththanaas,NZ,O
, be ,VV,O
,gisha ,VV,O
,oothon ,NN,O
,dizaysa ,NN,O
,issi ,AJ,O
,issi ,NZ,O
,Dhiraashe ,VV,O
,woradan ,NP,O
,dizayti ,NP,O
,yootida,NC,O
,. ,PUN,O
Sentence,Issi ,NN,O
,cachcha ,NN,O
,hezu,PU,O
,miloone ,PU,O
,puute ,NN,O
,tokkanaas ,NN,O
,halchcho ,AJ,O
,oykkidi ,NZ,O
,oothon ,VV,O
,gelettidaysa,VV,O
, worada ,NN,O
,heera ,NN,O
,wora ,AJ,O
,naago ,NZ,O
,limaate ,VV,O
,xiffate ,NP,O
,keethay,NP,O
,erissides,NC,O
,.,PUN,O
Sentence,Hirggissiza ,NN,O
,korona ,NN,O
,Vayrese,PU,O
, hargge ,NN,O
,teqe ,NN,O
,miiyera,NN,O
, dera ,AJ,O
,dethan ,NZ,O
,doomettida ,VV,O
,Cilila ,VV,O
,puute ,NN,O
,tossa ,NN,O
,Prograame ,AJ,O
,tama ,NZ,O
,othanaas ,VV,O
,be ,NP,O
,gisha ,NP,O
,ke'on ,NC,O
,dizaysa ,NN,O
,yootida,NN,O
, woradan,NN,O
, dizaytappe,NN,O
, daanna,NN,I-PER
, Ayle,AJ,I-PER
,Adanenne,NZ,I-PER
,daanna,VV,I-PER
,Aynasa,VV,I-PER
,Oltishako,NN,O
,. ,PUN,O
,Woradan ,AJ,O
,dizayta ,NZ,O
,qonccison,VV,O
, hayssappe ,NP,O
,sinthe ,NP,O
,heera ,NC,O
,dere ,NN,O
,asara,NN,O
, tokettida ,NN,O
,duumma ,PU,O
,duumma,PU,O
, puute ,NN,O
,zorethata ,NN,O
,asappenne ,AJ,O
,mehe ,NZ,O
,bochappe ,VV,O
,yeda ,VV,O
,gididi ,NN,O
,gam'ana ,NN,O
,mala ,AJ,O
,oothetethan,NZ,O
, dizaysa ,VV,O
,qofa ,NP,O
,immidayti,NP,O
, ha'ika ,NC,O
,tokettiza,NN,O
, puuteta,NN,O
, ishalsonne ,NN,O
,naago ,PU,O
,ootho,NN,O
, minissidi ,NN,O
,baanaysa ,NN,O
,yootida,AJ,O
,. ,PUN,O
Sentence,Buusa,VV,B-LOC
,qiila,VV,I-LOC
,qabale,NN,I-LOC
,goshsha ,NN,O
,limaate,AJ,I-ORG
,xiffate,NZ,I-ORG
,keetha,VV,I-ORG
, kaappoy,NP,I-PER
,daanna,NP,I-PER
,Indesha,NC,I-PER
,Siyum,NN,I-PER
, Yotida ,NN,O
,Mala ,NN,O
,qabalen ,NN,O
,tamu,NN,O
, sha'u ,AJ,O
,dumma ,NZ,O
,dumma ,VV,O
,zerethay ,VV,O
,diza ,NN,O
,puuteta ,NN,O
,tokkanaas ,AJ,O
,dere,NZ,O
,asa ,VV,O
,qaathethon ,NP,O
,oothon ,NP,O
,gelo ,NC,O
,danda'idaysa ,NN,O
,qonccissida,NN,O
,. ,PUN,O
Sentence,Dhiraashe,PU,B-LOC
,woreda,PU,I-LOC
, heera ,NN,O
,wora,NN,O
, naago ,AJ,O
,limaate,NZ,I-ORG
,xiffate,VV,I-ORG
,keetha,VV,I-ORG
,daanna,NN,I-PER
,Tewodros,NN,I-PER
,Enaway,AJ,I-PER
,Woradan ,NZ,O
,hezu,VV,O
,cachcha ,NP,O
,usupun,NP,O
,miloone ,NC,O
,puuteta ,NN,O
,tokkanaas ,NN,O
,halchon,NN,O
,oykettidaysappe ,PU,O
,hezu,NN,O
,cachcha ,NN,O
,issi ,NN,O
,miloone ,AJ,O
,puuteta ,NZ,O
,tossu ,VV,O
,danda'idaysa,VV,O
, qonccissida,NN,O
,. ,PUN,O
Sentence,Kaappoy ,AJ,O
,gujidi ,NZ,O
,heera ,VV,O
,loeetethas ,NP,O
,pe'iza ,NP,O
,oytamu,NC,O
,Sha'u ,NN,O
,puuteta ,NN,O
,Shamoninne ,NN,O
,Arbaminche,NN,I-ORG
,yuniversite,NN,I-ORG
, dere ,AJ,O
,asa ,NZ,O
,go'a,VV,O
, imo,VV,O
, kifileppe ,NN,O
,imettida ,NN,O
,puuteta ,AJ,O
,katamaninne ,NZ,O
,woradan ,VV,O
,diza ,NP,O
,dicciza ,NP,O
,Maazegaja ,NC,O
,keethata ,NN,O
,heeran ,NN,O
,tokettoysa,NN,O
, Malatida,PU,O
,.,PUN,O
Sentence,Puute ,NN,O
,tossa ,NN,O
,Xalala,AJ,O
, gidonta ,NZ,O
,naggonne ,VV,O
,ishalso ,VV,O
,kaappotethay,NN,O
, kumetha ,NN,O
,dere ,AJ,O
,asa ,NZ,O
,kifileta ,VV,O
,dhoqqa ,NP,O
,maadoy ,NP,O
,dizaysa ,NC,O
,malatida,NN,O
, gishe ,NN,O
,oda,NN,I-PER
,Inja,PU,I-PER
,Gelsimoy,NN,I-PER
, gaththides,NN,O
,. ,PUN,O
Sentence,Halaytha ,AJ,O
,gabbappe ,NZ,O
,naagettida ,VV,O
,muuruta ,VV,O
,demontaysa ,NN,O
,Dhiraashe,NN,I-LOC
,woradan,AJ,I-LOC
,issi ,NZ,O
,issi ,VV,O
,Qolla ,NP,O
,maashole ,NP,O
,qabale ,NC,O
,gashshanchati ,NN,O
,yootida,NN,O
,. ,PUN,O
Sentence,Worada ,NN,O
,goshshanne ,NN,O
,medheta ,AJ,O
,haaro ,NZ,O
,limaate,VV,I-ORG
,xiffate,VV,I-ORG
